CustomerID,total_revenue,cumulative_revenue,cumulative_pct,customer_pct,segment
14646.0,280206.02,280206.02,3.14,0.02,High Value
18102.0,259657.3,539863.3200000001,6.06,0.05,High Value
17450.0,194550.79,734414.1100000001,8.24,0.07,High Value
16446.0,168472.5,902886.6100000001,10.13,0.09,High Value
14911.0,143825.06,1046711.6700000002,11.75,0.12,High Value
12415.0,124914.53,1171626.2000000002,13.15,0.14,High Value
14156.0,117379.63,1289005.83,14.46,0.16,High Value
17511.0,91062.38,1380068.21,15.49,0.18,High Value
16029.0,81024.84,1461093.05,16.4,0.21,High Value
12346.0,77183.6,1538276.6500000001,17.26,0.23,High Value
16684.0,66653.56,1604930.2100000002,18.01,0.25,High Value
14096.0,65164.79,1670095.0000000002,18.74,0.28,High Value
13694.0,65039.62,1735134.6200000003,19.47,0.3,High Value
15311.0,60767.9,1795902.5200000003,20.15,0.32,High Value
13089.0,58825.83,1854728.3500000003,20.81,0.35,High Value
17949.0,58510.48,1913238.8300000003,21.47,0.37,High Value
15769.0,56252.72,1969491.5500000003,22.1,0.39,High Value
15061.0,54534.14,2024025.6900000002,22.71,0.41,High Value
14298.0,51527.3,2075552.9900000002,23.29,0.44,High Value
14088.0,50491.81,2126044.8000000003,23.86,0.46,High Value
15749.0,44534.3,2170579.1,24.36,0.48,High Value
12931.0,42055.96,2212635.06,24.83,0.51,High Value
17841.0,40991.57,2253626.63,25.29,0.53,High Value
15098.0,39916.5,2293543.13,25.74,0.55,High Value
13798.0,37153.85,2330696.98,26.15,0.58,High Value
16013.0,37130.6,2367827.58,26.57,0.6,High Value
16422.0,34684.4,2402511.98,26.96,0.62,High Value
12748.0,33719.73,2436231.71,27.34,0.65,High Value
15838.0,33643.08,2469874.79,27.72,0.67,High Value
17404.0,31906.82,2501781.61,28.07,0.69,High Value
17389.0,31833.68,2533615.29,28.43,0.71,High Value
13098.0,28882.44,2562497.73,28.76,0.74,High Value
14680.0,28754.11,2591251.84,29.08,0.76,High Value
13081.0,28337.38,2619589.2199999997,29.4,0.78,High Value
13408.0,28117.04,2647706.26,29.71,0.81,High Value
17857.0,26879.04,2674585.3,30.01,0.83,High Value
16333.0,26626.8,2701212.0999999996,30.31,0.85,High Value
13777.0,25977.16,2727189.26,30.6,0.88,High Value
12753.0,21429.39,2748618.65,30.84,0.9,High Value
12744.0,21279.29,2769897.94,31.08,0.92,High Value
16210.0,21086.3,2790984.2399999998,31.32,0.95,High Value
17675.0,20374.28,2811358.5199999996,31.55,0.97,High Value
17381.0,20275.61,2831634.1299999994,31.78,0.99,High Value
15039.0,19914.44,2851548.5699999994,32.0,1.01,High Value
12471.0,19824.05,2871372.619999999,32.22,1.04,High Value
12731.0,18895.91,2890268.5299999993,32.43,1.06,High Value
15159.0,18641.01,2908909.539999999,32.64,1.08,High Value
12901.0,17654.54,2926564.079999999,32.84,1.11,High Value
12678.0,17628.46,2944192.539999999,33.04,1.13,High Value
14031.0,17286.86,2961479.399999999,33.23,1.15,High Value
17428.0,17256.85,2978736.249999999,33.43,1.18,High Value
13767.0,17220.36,2995956.609999999,33.62,1.2,High Value
13881.0,17159.52,3013116.129999999,33.81,1.22,High Value
16839.0,16594.35,3029710.479999999,34.0,1.24,High Value
12921.0,16587.09,3046297.569999999,34.18,1.27,High Value
14607.0,16569.5,3062867.069999999,34.37,1.29,High Value
15856.0,16387.57,3079254.6399999987,34.55,1.31,High Value
17677.0,16363.23,3095617.8699999987,34.74,1.34,High Value
15189.0,16225.39,3111843.259999999,34.92,1.36,High Value
14051.0,15610.39,3127453.649999999,35.09,1.38,High Value
15513.0,14758.22,3142211.869999999,35.26,1.41,High Value
16133.0,14589.039999999999,3156800.909999999,35.42,1.43,High Value
14866.0,14389.9,3171190.809999999,35.59,1.45,High Value
16705.0,14034.99,3185225.7999999993,35.74,1.48,High Value
12681.0,13787.54,3199013.3399999994,35.9,1.5,High Value
12621.0,13689.67,3212703.0099999993,36.05,1.52,High Value
12540.0,13400.24,3226103.2499999995,36.2,1.54,High Value
12433.0,13375.87,3239479.1199999996,36.35,1.57,High Value
15498.0,13316.4,3252795.5199999996,36.5,1.59,High Value
12477.0,13219.74,3266015.26,36.65,1.61,High Value
17735.0,13110.02,3279125.28,36.8,1.64,High Value
16525.0,13027.45,3292152.73,36.94,1.66,High Value
14258.0,12669.98,3304822.71,37.09,1.68,High Value
13078.0,12627.94,3317450.65,37.23,1.71,High Value
12536.0,12601.830000000002,3330052.48,37.37,1.73,High Value
15640.0,12515.66,3342568.14,37.51,1.75,High Value
16000.0,12393.7,3354961.8400000003,37.65,1.78,High Value
17340.0,12353.29,3367315.1300000004,37.79,1.8,High Value
12682.0,12288.22,3379603.3500000006,37.92,1.82,High Value
13113.0,12245.96,3391849.3100000005,38.06,1.84,High Value
14606.0,12156.65,3404005.9600000004,38.2,1.87,High Value
12557.0,11990.960000000001,3415996.9200000004,38.33,1.89,High Value
12939.0,11581.8,3427578.72,38.46,1.91,High Value
15125.0,11528.48,3439107.2,38.59,1.94,High Value
14194.0,11349.52,3450456.72,38.72,1.96,High Value
12971.0,11189.91,3461646.6300000004,38.85,1.98,High Value
